09:48:20.622295: Large marble: Hercules, marbles: Mango Tango, Royal Orange, Spanish Pink, Eerie Black, Royal Red, Granny Smith Apple, Gold
09:48:20.698122: Large marble: Winner, marbles: Purple, Lemon Lime, Beaver, Lemon Lime, Pale Taupe, Venetian Red, Russian Violet
09:48:20.774134: Large marble: Lucky, marbles: Silver Pink, Russian Violet, Honeydew, Mango Tango, Ivory, Spanish Carmine, Silver Chalice
09:48:20.850709: Large marble: Spinner, marbles: Purple, Safety Yellow, Pale Plum, Orange Soda, Dark Moss Green, Orange Soda, Mint Green
09:48:20.927363: Large marble: Winner, marbles: Brink Pink, Icterine, Orange Soda, Emerald, Pale Plum, Big Dip O’ruby, Big Dip O’ruby
09:48:21.003799: Large marble: Winner, marbles: Brink Pink, Light Orange, Icterine, Sheen Green, Pale Goldenrod, Orange Soda, Arylide Yellow
09:48:21.080869: Large marble: Winner, marbles: Beaver, Icterine, Green, Russian Violet, Almond, Russian Green, Light Orchid
09:48:21.156997: Large marble: Spinner, marbles: Orange Peel, Gold, Blue Bell, Vegas Gold, Honeydew, Rose Quartz, Middle Red Purple
09:48:21.232698: Large marble: Apollo, marbles: Stop Red, Maximum Purple, Dark Moss Green, Ruby, Candy Pink, Granny Smith Apple, Pastel Blue
09:48:21.308005: Large marble: Winner, marbles: Pale Cerulean, Tuscan Brown, Maximum Violet, Light Orange, Mint Cream, Purple, Antique Bronze
09:48:21.383613: Large marble: Spinner, marbles: Ruby, Ruby, Pale Taupe, Purple, Light Orange, Blue Bell, Lavender Blue
09:48:21.460679: Large marble: Spinner, marbles: Orange Soda, Dark Moss Green, Russian Green, Russian Green, Vegas Gold, Spanish Pink, Pale Goldenrod
09:48:21.534416: Large marble: Sure Shot, marbles: La Salle Green, Honeydew, Mango Tango, Neon Silver, Emerald, Spanish Orange, Middle Green
09:48:21.611040: Large marble: Lucky, marbles: Bistre Brown, Light Orchid, Mint Cream, Purple Plum, Golden Yellow, Maximum Purple, Lilac Luster
09:48:21.688114: Large marble: Zeus, marbles: Gold, Auburn, Royal Blue, Vegas Gold, Mint Cream, Black Coral, Blue Bell
09:48:21.764248: Large marble: Hercules, marbles: Terra Cotta, Pale Goldenrod, Mango Tango, Icterine, Auburn, Antique Brass, Tuscan Brown
09:48:21.841318: Large marble: Apollo, marbles: Dark Fuchsia, Maximum Violet, Pale Cerulean, Auburn, Middle Green Yellow, Indigo, Blue-Green
09:48:21.917750: Large marble: Spinner, marbles: Spanish Orange, Liver Chestnut, Middle Green, Russian Green, White Smoke, Liver Chestnut, Ruby
09:48:21.994151: Large marble: 5-Star, marbles: Candy Pink, Golden Yellow, Maximum Blue, Outrageous Orange, Light Orange, Royal Blue, Neon Dark Green
09:48:22.070727: Large marble: Zeus, marbles: Thulian Pink, Granny Smith Apple, Spanish Carmine, Lumber, Bistre Brown, Lilac Luster, Cotton Candy
09:48:22.146811: Large marble: Winner, marbles: Emerald, Arylide Yellow, Lemon Lime, Lilac Luster, Pastel Gray, Orange Soda, Mango Tango
09:48:22.223178: Large marble: The Boss, marbles: Neon Silver, Purple Plum, Gold, Lilac Luster, Neon Dark Green, Big Dip O’ruby, Gold
09:48:22.299792: Large marble: Winner, marbles: Royal Red, Safety Yellow, Royal Blue, Green, Mimi Pink, Pale Goldenrod, Rose Quartz
09:48:22.376719: Large marble: Zeus, marbles: Indigo, Russian Green, Spanish Orange, Orange Soda, Shandy, Rose Quartz, Honeydew
09:48:22.453796: Large marble: Sure Shot, marbles: Mimi Pink, Emerald, Blue, Duke Blue, Cotton Candy, Liver Chestnut, Royal Orange
09:48:22.528133: Large marble: The Boss, marbles: Neon Dark Green, Lavender Blue, Outrageous Orange, Big Dip O’ruby, Vegas Gold, Lilac Luster, Lilac Luster
09:48:22.602499: Large marble: Zeus, marbles: Platinum, Pale Cerulean, Neon Pink, Spanish Carmine, Mode Beige, Blue Bell, Sheen Green
09:48:22.678767: Large marble: Winner, marbles: Liver Chestnut, Cotton Candy, Rose Dust, Purple, Platinum, Pastel Blue, Dark Moss Green
09:48:22.755840: Large marble: Sure Shot, marbles: Ivory, Pale Plum, Middle Green, Pale Goldenrod, Pale Taupe, Green, Mode Beige
09:48:22.832910: Large marble: The Boss, marbles: Rose Dust, Almond, Blue Bell, Cotton Candy, Honeydew, Maximum Violet, Terra Cotta
09:48:22.909486: Large marble: Winner, marbles: Auburn, Dark Moss Green, Stop Red, Auburn, Blue, Icterine, Maximum Violet
09:48:22.986562: Large marble: Hercules, marbles: Arylide Yellow, Isabelline, Pastel Gray, Icterine, Pale Goldenrod, Emerald, Spanish Orange
09:48:23.063640: Large marble: Hercules, marbles: Duke Blue, Mint Green, Maximum Violet, Fiery Rose, La Salle Green, Pale Goldenrod, Neon Pink
09:48:23.140711: Large marble: Lucky, marbles: Russian Violet, Antique Brass, Thulian Pink, Honeydew, Green, Bistre Brown, Indigo
09:48:23.217459: Large marble: Spinner, marbles: Pastel Blue, Antique Brass, Royal Blue, Dark Moss Green, Spanish Pink, Lemon Lime, Mulberry
09:48:23.293902: Large marble: Apollo, marbles: Antique Brass, Honeydew, Dark Fuchsia, Gold, Sage, Silver Chalice, Spanish Pink
09:48:23.370972: Large marble: Lucky, marbles: Terra Cotta, Spanish Carmine, Ruby, Lumber, Black Coral, Middle Green, Orange Peel
09:48:23.447343: Large marble: The Boss, marbles: Silver Chalice, Antique Bronze, Honeydew, Orange Peel, Cotton Candy, Middle Green, Candy Pink
09:48:23.523818: Large marble: Spinner, marbles: Tuscan Brown, Antique Bronze, Silver Chalice, Lumber, Liver Chestnut, Sage, Pale Plum
09:48:23.600881: Large marble: Zeus, marbles: Middle Green Yellow, Pale Plum, Liver Chestnut, Lavender Blue, Venetian Red, Maximum Purple, Mint Cream
09:48:23.676753: Large marble: Lucky, marbles: Black Coral, Lavender Purple, Brink Pink, Zomp, La Salle Green, Sage, Golden Yellow
09:48:23.753036: Large marble: Spinner, marbles: Orange Soda, Rose Dust, Honeydew, La Salle Green, Gold, Silver Pink, Mode Beige
